suite,method,cases,improved_over_rigid,rejected_levels,tre_mean_mm,dice,seconds
synthetic_2d,rigid,8,0,0,3.165336272858533,,
synthetic_2d,block_torch,8,8,0,0.31875231596778936,,0.8354587060166523
synthetic_2d,block_cuda,8,8,0,0.31875231596778936,,0.2527696257457137
synthetic_3d,rigid,8,0,0,3.8419397192306093,,
synthetic_3d,block_torch,8,8,0,0.46847514609388075,,1.5945829183619935
synthetic_3d,block_cuda,8,8,0,0.46847514609388075,,0.24310582468751818
brains,rigid,3,0,0,5.529522062002478,0.9475175861743284,
brains,block_torch,3,3,0,5.267536141884158,0.9589940423924378,13.089376667048782
brains,block_cuda,3,3,0,5.267536141884158,0.9589940423924378,0.8851299017357329
abdomens,rigid,8,0,0,,0.6035736590637227,
abdomens,block_torch,8,8,0,,0.7730845700072374,12.426127652142895
abdomens,block_cuda,8,8,0,,0.7730845700072374,0.8304742800246459
